,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize
14,cn,hzerg,-,-,20125,57.96
15,cn,Luffy,Hao,Ye,36659,57.96
16,cn,Edison,-,-,36660,57.96
17,cn,JiFeng,-,-,36661,57.96
18,ru,spellsinger,Petr,Umnikov,24640,57.65
19,za,Flarez,Leon,Wong,18108,56.58
20,be,spoon,-,-,27706,56.58
21,fi,sepisepi,Seppo,Kauppinen,15284,55.99
22,ar,Gool,Luciano,Delorenzi,4343,55.69
23,ar,LuCkyZ,Cristian,Leopoldo,4344,55.69
24,ar,berbATOV,-,-,4345,55.69
25,ar,Gwailo,Julián,Fasce,4346,55.69
26,br,DontPanic,Raian,Westin,13765,55.24
27,fi,Ouga,Ville,Wallin,28273,55.21
28,us,Hypernia,-,-,25314,55.0
29,fi,Enpo,-,-,5519,54.67
30,fi,Hyge,-,-,5521,54.67
31,pl,Gremory,Paweł,-,40697,54.5
32,fr,eRaZz,-,-,8549,52.78
33,pl,qbeN,Jakub,Witek,40692,52.51
34,za,RushMePlz,GavinRay,Nelson,23718,50.7
35,dk,Drafter,Rasmus,Kristensen,2297,50.0
36,ca,Kyhol,Kyle,Hollett,2304,50.0
37,ca,Baz,John,Bendis,2309,50.0
38,mx,Sylvanas,-,-,2329,50.0
39,tw,luway,-,-,2334,50.0
40,us,KTdonut,Katie,-,2336,50.0
41,tw,Swip,-,-,2986,50.0
42,sg,Polaris,-,-,7292,50.0
43,sg,Manly,-,-,7294,50.0
44,sg,Loire,-,-,7295,50.0
45,sg,DeathlyJo,-,-,7298,50.0
46,sg,Kunnie,-,-,7299,50.0
47,kr,xD,Choi Joon,Hyuk,11135,50.0
48,ru,Siena,-,-,13181,50.0
49,us,Coldflame,-,-,14814,50.0
50,us,Virium,Josiah,Boyer,30746,50.0
51,us,omgabanana,-,-,30747,50.0
52,de,ToM,-,-,31246,50.0
53,us,xKawaiian,Taylor,Vinson,32600,50.0
54,uy,DominiC,Kevin,Texeira,33498,50.0
55,us,TAGurPRGNANT,Preston,Tung,35279,50.0
56,my,Renson,-,-,38790,49.47
57,au,YoonYoJun,-,-,38791,49.47
58,nz,Soft,-,-,38792,49.47
59,au,sAint,-,-,38793,49.47
60,au,Mez,-,-,38794,49.47
61,au,Fooky,-,-,38795,49.47
62,sg,sheepy,-,-,38796,49.47
63,se,PGG,-,-,27699,49.35
64,cn,Intowind,-,-,27533,48.69
65,pl,ghasT,Mikolaj,Bastian,38408,46.58
66,pl,smileyGREEN,-,-,27697,46.2
67,ua,knoxville,Oleg,Skobelev,27698,46.13
68,ca,Zode,-,-,14815,45.0
69,de,iJustARandom,-,-,27696,44.07
70,ua,Friend,-,-,34097,41.55
71,us,chillatech,-,-,6404,40.0
72,us,Niv,-,-,6405,40.0
73,us,Paperboat,-,-,6406,40.0
74,us,MisoSoup,-,-,6407,40.0
75,us,Hatefiend,-,-,6408,40.0
76,us,wonkman,-,-,6409,40.0
77,us,HeroSS,-,-,6410,40.0
78,us,NightToad,-,-,6411,40.0
79,kr,ProL,-,-,11136,40.0
80,kr,Ares,Seo,Chang Deok,11137,40.0
81,us,Temp0,Kwame,Mensah,12261,40.0
82,ru,Helios,-,-,14145,40.0
83,us,Schnieder,Jeff,Schnieder,24642,40.0
84,th,Strafe,Robbie,Verspui,7329,38.79
85,us,Crilmon,David,Buksa,25318,38.0
86,nl,LeMur,-,-,12581,37.85
87,cr,EON,-,-,31367,37.0
88,nl,DarkSanta,-,-,18684,36.15
89,de,Bakuri,Timo,Lüdtke,18634,35.98
90,au,NaMeK,-,-,27072,35.92
91,ph,ProzeR,-,-,27073,35.92
92,au,Chase,-,-,27074,35.92
93,at,Tris,-,-,18685,35.79
94,fr,Thadortin,-,-,18686,35.79
95,hu,StuntR,-,-,18688,35.76
96,hu,Purple,-,-,18689,35.76
97,cz,KrOOdeR,Jakub,Richtr,18679,35.05
98,cz,Jarax,-,-,18680,35.05
99,de,Eisen,Martin,Stops,18681,35.05
0,de,Leonschakal,-,-,18682,35.05
1,no,Darroweve,Thorleif,Grande,37722,34.94
2,kz,PhoenixChoch,-,-,25509,34.42
3,tw,Wizard,-,-,13726,34.39
4,de,ZeRo,Tobias,Otte,15475,34.1
5,de,DeLoAdEr,Thomas,Möllenhoff,18631,34.1
6,de,mAth,-,-,28531,33.47
7,ar,Shuank,Juan,Manuel Serruya,4347,33.42
8,ar,Egg,-,-,4348,33.42
9,ar,Saku,-,-,4349,33.42
10,ar,CARRAS,-,-,4350,33.42
11,ar,Hikaro,-,-,4351,33.42
12,ar,Velocipablo,-,-,4352,33.42
13,ar,Kobu,Tomás,Díaz,4353,33.42
14,ar,ynoJ,-,-,4354,33.42
15,de,Zhosay,Tobias,Weihrauch,18632,33.41
16,ru,Yunga,-,-,21367,33.29
17,de,TrOn,Fabian,Schiedt,4387,32.85
18,de,CrystaX,Alexander,Schwindt,4388,32.85
19,gb,Bromaria,James,Hardwick,20408,32.79
20,at,rigety,Roland,Rumpold,18622,32.67
21,de,Rea,-,-,18624,32.67
22,de,CoBJoz,Joseph,Schutt,18627,32.67
23,de,LMD,Matthias,Mertens,18630,32.67
24,cn,YourMajestyL,-,-,27531,32.67
25,cn,cora,-,-,27528,32.62
26,de,Fiasco,Dominik,Braunheim,3808,32.59
27,cn,MSK,-,-,19605,32.2
28,dk,MperorM,Mathias,Bonde,31018,32.0
29,my,Cyclone,-,-,7308,31.64
30,my,RHKK,-,-,7310,31.64
31,my,makrsmenKN6,-,-,7311,31.64
