,Age_at_win,Prize_USD,date
440,,131,2012-02-12
441,,131,2013-06-23
442,,131,2013-06-23
443,,131,2013-06-23
444,,32,2012-10-16
445,,32,2012-10-23
446,,32,2012-10-30
447,20.0,470,2011-09-04
448,23.0,205,2010-11-20
449,,33,2013-06-18
450,,16,2013-09-28
451,,16,2013-11-16
452,,16,2013-11-30
453,,49,2014-01-25
454,,16,2014-05-11
455,,16,2014-06-22
456,,130,2013-04-28
457,,32,2012-02-14
458,,33,2012-02-28
459,23.0,272,2010-11-21
460,,33,2012-03-20
461,,30,2012-07-09
462,,129,2011-02-07
463,,128,2015-12-27
464,,128,2015-12-27
465,,16,2015-06-14
466,,110,2015-12-27
467,,16,2015-06-28
468,,110,2015-12-27
469,,125,2014-03-29
470,23.0,2648,2010-11-27
471,,125,2015-05-11
472,,125,2015-05-11
473,,50,2017-01-08
474,,75,2017-07-23
475,26.0,91,2013-06-29
476,26.0,33,2013-08-14
477,,25,2013-05-15
478,,98,2014-07-06
479,,64,2011-08-07
480,,56,2011-09-04
481,23.0,100,2010-12-10
482,,10,2016-08-06
483,,15,2016-09-17
484,,95,2017-06-18
485,21.0,118,2013-10-13
486,,30,2011-11-20
487,,87,2012-06-03
488,,25,2015-03-22
489,,76,2015-05-03
490,,15,2017-08-12
491,,16,2014-07-06
492,24.0,50,2010-12-30
493,,97,2014-09-27
494,,113,2017-07-16
495,,111,2017-06-10
496,,110,2015-12-27
497,,110,2015-12-27
498,,110,2015-12-27
499,,110,2015-12-27
500,,55,2016-08-19
501,,52,2016-12-09
502,,108,2015-04-26
503,24.0,1942,2011-01-08
504,18.0,20,2010-10-12
505,19.0,20,2010-12-21
506,19.0,67,2011-11-10
507,22.0,107,2013-11-22
508,21.0,107,2013-11-22
509,,100,2016-01-09
510,,6,2016-09-24
511,,102,2015-07-04
512,,102,2015-07-04
513,,51,2011-10-16
514,24.0,7500,2011-01-23
515,,50,2011-11-06
516,,100,2011-08-20
517,,100,2011-08-27
518,,100,2017-03-10
519,17.0,100,2010-11-13
520,,100,2010-11-14
521,,100,2012-05-05
522,15.0,100,2012-08-18
523,,60,2011-02-16
524,,40,2015-01-10
525,24.0,66,2011-01-27
526,,100,2013-08-18
527,,100,2013-08-18
528,,100,2013-06-29
529,,100,2013-06-29
530,,100,2014-03-14
531,,100,2014-03-17
532,,100,2011-06-17
533,,50,2015-11-22
534,,50,2016-07-24
535,,100,2016-08-14
536,24.0,267,2011-01-30
537,,32,2010-09-01
538,,65,2010-09-06
539,,81,2013-10-19
540,,16,2015-05-17
541,,81,2013-08-17
542,,16,2013-09-14
543,,97,2013-03-16
544,,97,2014-09-27
545,,97,2014-09-27
546,,97,2014-01-26
547,24.0,170,2011-02-08
548,,32,2010-08-31
549,,65,2010-09-09
550,,96,2012-10-06
551,,96,2015-01-25
552,,95,2015-10-15
553,,75,2014-05-14
554,,10,2016-03-23
555,,10,2017-02-18
556,,25,2015-10-25
557,,50,2016-11-26
558,20.0,1392,2011-09-10
559,24.0,100,2011-02-25
560,,20,2016-12-10
561,,94,2012-06-16
562,,50,2016-01-31
563,,42,2016-04-03
564,,50,2017-06-23
565,,12,2017-08-12
566,,15,2017-08-12
567,,15,2017-08-27
568,,92,2012-02-12
569,,53,2016-01-10
570,24.0,400,2011-03-05
571,,38,2016-09-17
572,25.0,20,2011-02-16
573,25.0,71,2011-03-20
574,,90,2012-06-03
575,,90,2014-03-02
576,,90,2014-03-02
577,,90,2017-01-14
578,,40,2015-01-10
579,,50,2015-07-12
580,,34,2013-10-26
581,24.0,333,2011-03-20
582,,54,2014-01-11
583,,88,2012-06-24
584,,88,2012-06-24
585,,88,2012-06-24
586,,88,2012-06-24
587,,88,2012-06-24
588,,87,2012-12-02
589,,87,2012-12-02
590,19.0,15,2016-05-18
591,19.0,35,2016-07-13
592,24.0,360,2011-04-17
593,19.0,36,2016-09-13
594,,60,2013-08-18
595,,25,2015-05-31
596,,83,2014-05-10
597,,80,2013-07-07
598,,80,2012-07-01
599,,80,2012-07-01
600,,80,2012-07-01
601,,80,2012-07-01
602,22.0,20,2011-07-22
603,24.0,5584,2011-04-23
604,22.0,20,2011-09-06
605,23.0,20,2011-10-14
606,23.0,20,2012-02-03
607,,78,2015-07-19
608,,62,2015-05-11
609,,15,2016-04-03
610,,76,2015-06-28
611,,76,2015-07-30
612,,25,2011-09-17
613,,50,2012-02-18
614,24.0,285,2011-06-17
615,,75,2010-11-14
616,,75,2010-11-14
617,,75,2010-09-04
618,26.0,75,2013-01-13
619,16.0,75,2013-01-13
620,,75,2014-02-07
621,,25,2013-06-05
622,,25,2013-10-23
623,,25,2013-11-13
624,,25,2013-07-10
625,24.0,200,2011-07-01
626,,25,2013-08-14
627,,25,2013-11-20
628,,15,2014-09-28
629,,60,2016-03-26
630,,75,2017-07-23
631,,75,2017-07-23
632,,75,2017-07-23
633,,75,2017-07-23
634,,75,2017-07-23
635,,73,2015-04-05
636,24.0,59,2011-07-03
637,,73,2017-07-09
638,22.0,73,2017-07-09
639,23.0,73,2017-07-09
640,,73,2017-07-09
641,28.0,73,2017-07-09
642,32.0,73,2017-07-09
643,32.0,73,2017-07-09
644,26.0,73,2017-07-09
645,,42,2016-04-03
646,,30,2017-08-12
647,24.0,178,2011-07-07
648,,22,2016-06-10
649,,50,2016-08-21
650,,72,2013-10-20
651,,72,2011-04-28
652,,72,2012-04-08
653,,35,2011-06-20
654,,35,2011-07-25
655,,35,2011-06-20
656,,35,2011-07-25
657,,35,2011-06-27
658,24.0,178,2011-07-14
659,,35,2011-07-04
660,,71,2011-08-18
661,,71,2011-04-03
662,,71,2011-05-08
663,,71,2011-03-13
664,,70,2011-10-29
665,,68,2011-09-08
666,,68,2014-05-04
667,,68,2011-02-21
668,,68,2010-11-15
669,20.0,254,2011-10-02
670,24.0,400,2011-08-28
671,27.0,67,2011-09-24
672,,32,2010-09-27
673,,34,2010-10-14
674,,66,2010-11-23
675,25.0,33,2013-02-19
676,25.0,32,2013-03-26
677,,65,2010-09-16
678,,65,2010-09-20
679,,65,2010-09-27
680,20.0,20,2011-02-01
681,24.0,650,2011-10-16
682,20.0,20,2011-03-29
683,23.0,25,2014-04-06
684,,15,2016-05-13
685,,15,2016-05-27
686,,35,2016-06-29
687,,64,2011-08-07
688,,64,2013-08-31
689,,32,2015-05-31
690,,32,2015-06-28
691,21.0,63,2010-08-30
692,24.0,348,2011-10-22
693,,63,2013-06-29
694,,63,2013-06-29
695,,63,2013-06-29
696,,63,2013-06-29
697,,62,2014-11-17
698,,12,2017-02-19
699,,15,2017-04-09
700,,35,2017-06-11
701,,18,2013-10-06
702,,8,2014-02-02
703,24.0,2000,2011-10-25
704,,13,2014-04-13
705,,20,2014-12-21
706,,60,2012-09-01
707,20.0,60,2011-02-16
708,,60,2013-08-18
709,,60,2013-08-18
710,,60,2013-08-18
711,,60,2013-08-18
712,,60,2013-08-18
713,,60,2013-08-18
714,24.0,1000,2011-11-06
715,19.0,20,2011-03-09
716,19.0,20,2011-04-29
717,19.0,20,2011-05-31
