,Unnamed: 0,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize,Key,KL,kh
806,6,za,seeM,Mohamed,Lorgat,18115,525.83,18115-seeM-Mohamed-Lorgat,18115-seeM-Lorgat-Mohamed,18115-seeM
807,7,us,Sugar,Austin,Kim,32601,525.0,32601-Sugar-Austin-Kim,32601-Sugar-Kim-Austin,32601-Sugar
808,8,kr,Tiger,Kim,Hyun-Joon,11108,524.24,11108-Tiger-Kim-Hyun-Joon,11108-Tiger-Hyun-Joon-Kim,11108-Tiger
809,9,cn,Uhen,Yan,Luo,18746,522.77,18746-Uhen-Yan-Luo,18746-Uhen-Luo-Yan,18746-Uhen
810,10,ru,Roll,Sergey,Moroz,4336,521.57,4336-Roll-Sergey-Moroz,4336-Roll-Moroz-Sergey,4336-Roll
811,11,cl,wiNgiAN,Giancarlo,Crosa,13766,518.41,13766-wiNgiAN-Giancarlo-Crosa,13766-wiNgiAN-Crosa-Giancarlo,13766-wiNgiAN
812,12,de,FeaR,Richard,Au,15486,517.83,15486-FeaR-Richard-Au,15486-FeaR-Au-Richard,15486-FeaR
813,13,kr,Booster,Ho-Joon,Moon,10957,517.66,10957-Booster-Ho-Joon-Moon,10957-Booster-Moon-Ho-Joon,10957-Booster
814,14,kr,Hoon,Ji-Hoon,Ha,15967,517.66,15967-Hoon-Ji-Hoon-Ha,15967-Hoon-Ha-Ji-Hoon,15967-Hoon
815,15,us,starkiller,John,Puchalski,35737,502.0,35737-starkiller-John-Puchalski,35737-starkiller-Puchalski-John,35737-starkiller
816,16,pl,Forte,Kamil,Sudor,2624,500.0,2624-Forte-Kamil-Sudor,2624-Forte-Sudor-Kamil,2624-Forte
817,17,mx,Dark,Edgar,Chuc,3044,500.0,3044-Dark-Edgar-Chuc,3044-Dark-Chuc-Edgar,3044-Dark
818,18,cn,SKTB,Bor-Rong,Huang,3406,500.0,3406-SKTB-Bor-Rong-Huang,3406-SKTB-Huang-Bor-Rong,3406-SKTB
819,19,us,neversummer,-,-,24949,500.0,24949-neversummer,24949-neversummer,24949-neversummer
820,20,au,Sanchez,-,-,38785,500.0,38785-Sanchez,38785-Sanchez,38785-Sanchez
821,21,bg,Kalin,Kalin,Romanov,6292,498.6,6292-Kalin-Kalin-Romanov,6292-Kalin-Romanov-Kalin,6292-Kalin
822,22,ca,Sottorks,Richer,Morin,37285,495.55,37285-Sottorks-Richer-Morin,37285-Sottorks-Morin-Richer,37285-Sottorks
823,23,cn,Szxy,-,-,12669,490.78,12669-Szxy,12669-Szxy,12669-Szxy
824,24,us,Voltz,Daniel,Morgan,27261,489.5,27261-Voltz-Daniel-Morgan,27261-Voltz-Morgan-Daniel,27261-Voltz
825,25,cn,DouDou,Yujin,Wu,7350,489.13,7350-DouDou-Yujin-Wu,7350-DouDou-Wu-Yujin,7350-DouDou
826,26,de,Jaxx,Alexander,Quaiser,4386,481.94,4386-Jaxx-Alexander-Quaiser,4386-Jaxx-Quaiser-Alexander,4386-Jaxx
827,27,cn,Banquet,-,-,16993,481.47,16993-Banquet,16993-Banquet,16993-Banquet
828,28,us,Sonic,Wen,Jin,7333,480.33,7333-Sonic-Wen-Jin,7333-Sonic-Jin-Wen,7333-Sonic
829,29,cn,Six,-,-,16996,479.22,16996-Six,16996-Six,16996-Six
830,30,se,Cytoplasm,Jonas,Larsson,2797,478.1,2797-Cytoplasm-Jonas-Larsson,2797-Cytoplasm-Larsson-Jonas,2797-Cytoplasm
831,31,cn,MisS,Yiying,Han,14907,476.12,14907-MisS-Yiying-Han,14907-MisS-Han-Yiying,14907-MisS
832,32,cn,Fly100%,Weiliang,Lu,1338,470.0,1338-Fly100%-Weiliang-Lu,1338-Fly100%-Lu-Weiliang,1338-Fly100%
833,33,cn,TH000,Xiang,Huang,1402,470.0,1402-TH000-Xiang-Huang,1402-TH000-Huang-Xiang,1402-TH000
834,34,ch,FunK,Romain,Altenbach,18575,469.07,18575-FunK-Romain-Altenbach,18575-FunK-Altenbach-Romain,18575-FunK
835,35,cz,PredY,Tomáš,Pospíšil,1277,459.87,1277-PredY-Tomáš-Pospíšil,1277-PredY-Pospíšil-Tomáš,1277-PredY
836,36,no,DogSladder,-,-,12320,459.63,12320-DogSladder,12320-DogSladder,12320-DogSladder
837,37,it,Evaner,Giovanni,Finizio,15014,459.27,15014-Evaner-Giovanni-Finizio,15014-Evaner-Finizio-Giovanni,15014-Evaner
838,38,cn,JIN,-,-,28957,459.23,28957-JIN,28957-JIN,28957-JIN
839,39,cn,亚城木梦叶,-,-,31496,458.1,31496-亚城木梦叶,31496-亚城木梦叶,31496-亚城木梦叶
